127.0.0.1 - - [29/Jul/2024:12:09:04 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [29/Jul/2024:12:09:06 +0530] "GET /TestJSP/test.jsp HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [29/Jul/2024:12:09:06 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [29/Jul/2024:12:11:36 +0530] "GET /TestJSP/test.jsp HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [29/Jul/2024:12:11:40 +0530] "GET /TestJSP/test.jsp HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [29/Jul/2024:12:11:40 +0530] "GET /TestJSP/test.jsp HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [29/Jul/2024:12:11:41 +0530] "GET /TestJSP/test.jsp HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [29/Jul/2024:12:37:48 +0530] "GET /TestJSP/test.jsp HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [29/Jul/2024:12:38:25 +0530] "GET /TestJSP/test.jsp HTTP/1.1" 200 192
0:0:0:0:0:0:0:1 - - [29/Jul/2024:12:38:41 +0530] "GET /TestJSP/test.jsp HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [29/Jul/2024:12:43:42 +0530] "GET /TestJSP/ScripletDemo.jsp HTTP/1.1" 200 189
